forage_type,genus,species,num_acc,num_avail
legume,Astragalus,Astragalus chinensis,2,0
legume,Astragalus,Astragalus cicer,366,4
legume,Astragalus,Astragalus arenarius,3,0
legume,Canavalia,Canavalia ensiformis,156,23
legume,Coronilla,Coronilla varia,263,0
legume,Hedysarum,Hedysarum coronarium,239,2
legume,Lathyrus,Lathyrus cicera,1325,6
legume,Lathyrus,Lathyrus ciliolatus,22,0
legume,Lathyrus,Lathyrus hirsutus,392,2
legume,Lathyrus,Lathyrus ochrus,663,16
legume,Lathyrus,Lathyrus odoratus,225,0
legume,Lathyrus,Lathyrus sativus,9014,129
legume,Lespedeza,Lespedeza cuneata,97,3
legume,Lespedeza,Lespedeza striata,5,3
legume,Lespedeza,Lespedeza stipulacea,18,2
legume,Lotus,Lotus corniculatus,3956,30
legume,Lotus,Lotus subbiflorus,39,2
legume,Lotus,Lotus uliginosus,296,4
legume,Lupinus,Lupinus albus,6561,283
legume,Lupinus,Lupinus angustifolius,6374,1140
legume,Lupinus,Lupinus luteus,5061,120
legume,Medicago,Medicago Arborea,101,14
legume,Medicago,Medicago falcata,832,13
legume,Medicago,Medicago sativa,21935,436
legume,Medicago,Medicago scutellata,481,24
legume,Medicago,Medicago rigidula,1887,31
legume,Medicago,Medicago truncatula,4209,37
legume,Melilotus,Melilotus albus,1835,92
legume,Melilotus,Melilotus officinalis,1412,23
legume,Onobrychis,Onobrychis viciifolia,1258,11
legume,Ornithopus,Ornithopus sativus,342,1
legume,Prosopis,Prosopis affinis,2,1
legume,Prosopis,Prosopis alba,24,9
legume,Prosopis,Prosopis chilensis,28,21
legume,Prosopis,Prosopis nigra,8,0
legume,Prosopis,Prosopis pallida,40,38
legume,Pueraria,Pueraria phaseoloides,315,195
legume,Trifolium,Trifolium alexandrinum,612,32
legume,Trifolium,Trifolium alpestre,259,2
legume,Trifolium,Trifolium ambiguum,549,3
legume,Trifolium,Trifolium angustifolium,505,20
legume,Trifolium,Trifolium arvense,658,1
legume,Trifolium,Trifolium hybridum,1536,7
legume,Trifolium,Trifolium incarnatum,394,6
legume,Trifolium,Trifolium pratense,17683,108
legume,Trifolium,Trifolium repens,11549,171
legume,Trifolium,Trifolium resupinatum,1161,26
legume,Trifolium,Trifolium rueppellianum,36,24
legume,Trifolium,Trifolium semipilosum,89,17
legume,Trifolium,Trifolium subterraneum,8913,28
legume,Trifolium,Trifolium vesiculosum,101,5
grass,Andropogon,Andropogon gayanus,202,54
grass,Agropyron,Agropyron cristatum,1564,7
grass,Agropyron,Agropyron desertorum,450,2
grass,Agrostis,Agrostis stolonifera,349,6
grass,Agrostis,Agrostis tenuis,220,0
grass,Alopecurus,Alopecurus pratensis,1158,2
grass,Arrhenatherum,Arrhenatherum elatius,983,9
grass,Dactylis,Dactylis glomerata,18976,96
grass,Festuca,Festuca arundinacea,5579,90
grass,Festuca,Festuca gigantea,465,8
grass,Festuca,Festuca heterophylla,54,0
grass,Festuca,Festuca ovina,652,9
grass,Festuca,Festuca pratensis,10008,22
grass,Festuca,Festuca rubra,4557,5
grass,Lolium,Lolium hybridum,968,11
grass,Lolium,Lolium multiflorum,3362,82
grass,Lolium,Lolium perenne,19838,119
grass,Lolium,Lolium rigidum,422,3
grass,Lolium,Lolium temulentum,408,1
grass,Phalaris,Phalaris aquatica,505,13
grass,Phalaris,Phalaris arundinacea,1360,25
grass,Poa,Poa alpina,198,2
grass,Poa,Poa annua,232,7
grass,Poa,Poa pratensis,8154,15
grass,Tripsacum,Tripsacum laxum,4,0
other,Atriplex,Atriplex halimus,134,7
other,Atriplex,Atriplex nummularia,68,5
other,Salsola,Salsola vermiculata,22,1
