Food Crop,EAA conducted,Genome Available,Georeferenced Collection,Collection Genotyped,Collection Phenotyped
Breadfruit,No,Yes,No,Yes,No
Asparagus,No,Yes,No,Yes,Yes
Oat,No,Yes,Yes,Yes,Yes
Beet,No,Yes,No,Yes,No
Brassica complex,No,Yes,No,Yes,No
Pigeon Pea,No,Yes,Yes,Yes,Yes
Chickpea,Yes,Yes,Yes,Yes,Yes
Citrus,No,Yes,No,No,No
Coconut,No,Yes,No,No,No
Major aroids,No,Yes,Yes,Yes,Yes
Carrot,No,Yes,Yes,Yes,Yes
Yams,No,Yes,Yes,Yes,No
Finger Millet,No,Yes,Yes,Yes,No
Strawberry,Yes,Yes,Yes,Yes,Yes
Sunflower,Yes,Yes,Yes,Yes,Yes
Barley,Yes,Yes,Yes,Yes,Yes
Sweet Potato,No,Yes,Yes,Yes,Yes
Grass pea,No,Yes,No,No,Yes
Lentil,No,Yes,Yes,Yes,Yes
Apple,No,Yes,No,Yes,Yes
Cassava,Yes,Yes,Yes,Yes,Yes
Banana/Plantain,No,Yes,Yes,Yes,Yes
Rice,Yes,Yes,Yes,Yes,Yes
Pearl Millet,No,Yes,Yes,Yes,Yes
Beans,Yes,Yes,Yes,Yes,Yes
Pea,No,Yes,Yes,Yes,Yes
Rye,Yes,Yes,Yes,Yes,Yes
Potato,No,Yes,No,Yes,Yes
Eggplant,No,Yes,Yes,Yes,Yes
Sorghum,Yes,Yes,Yes,Yes,Yes
Triticale,No,No,No,Yes,Yes
Wheat,Yes,Yes,Yes,Yes,Yes
Faba Bean/Vetch,No,No,No,Yes,Yes
Cowpea et al.,No,Yes,No,Yes,Yes
Maize,Yes,Yes,Yes,Yes,Yes
Astragalus,No,Yes,No,Yes,No
Canavalia,No,No,No,No,No
Coronilla,No,No,No,No,Yes
Hedysarum,No,No,No,No,No
Lathyrus,No,Yes,Yes,Yes,Yes
Lespedeza,No,No,Yes,Yes,No
Lotus,No,Yes,No,No,No
Lupinus,No,Yes,Yes,Yes,Yes
Medicago,Yes,Yes,Yes,Yes,Yes
Melilotus,No,Yes,Yes,Yes,Yes
Onobrychis,No,No,No,No,No
Ornithopus,No,No,No,No,No
Prosopis,No,Yes,No,No,No
Pueraria,No,Yes,No,Yes,No
Trifolium,No,Yes,Yes,Yes,Yes
Andropogon,No,No,No,No,Yes
Agropyron,No,No,No,No,No
Agrostis,No,No,No,No,No
Alopercurus,No,No,No,No,No
Arrhenatherum,No,No,No,No,No
Dactylis,No,Yes,No,No,Yes
Festuca,No,No,No,Yes,No
Lolium,No,Yes,Yes,Yes,Yes
Phalaris,No,No,No,No,Yes
Phleum ,No,No,No,Yes,Yes
Poa,No,No,Yes,Yes,No
Tripsaum,No,No,No,No,No
Atriplex,No,No,No,No,No
Salsola,No,No,No,No,No
